Gia_tri,So_luong
Thiết kế đồ họa (Graphic Design),461
Kinh doanh phần mềm,231
Software Engineer,110
Công nghệ thông tin khác,109
Backend Developer,97
Business Analyst (Phân tích nghiệp vụ),81
Fullstack Developer,73
Product Owner/Product Manager,57
IT Helpdesk/IT support,53
Mobile Developer,51
DevOps Engineer,48
business analyst,47
IT Project Manager,47
Manual Tester,46
Frontend Developer,42
AI Engineer,39
UI/UX Design,37
Software Tester (Automation & Manual),35
Animation Design,34
Bán hàng kỹ thuật IT,34
Game Design,33
Sales IT Phần mềm khác,33
Data Engineer,31
System Engineer,31
Data Analyst,29
system administrator,26
System Administrator,25
Kinh doanh Domain/Hosting/Server,25
IT Consultant,23
Technical Leader,23
Network Engineer,22
Kỹ thuật IT,21
Automation Tester,20
Kỹ sư lập trình máy,20
Game Developer,18
Illustration,18
qa engineer,18
Concept Artist,17
Process Quality Assurance (PQA),16
it,16
data analyst,16
network engineer,15
data engineer,15
security engineer,15
Kỹ sư cầu nối BrSE,14
Chuyên viên Cyber Security,14
Chuyên viên IT Security,13
devops engineer,13
Data Labeling (Gán nhãn dữ liệu),11
Database Administrator (DBA),11
product owner,10
Digital Marketing,10
Embedded Engineer/Lập trình nhúng,10
Solution Architect,10
Data Scientist,10
3D Modeler,9
software engineer,9
Quản trị và vận hành bảo mật,9
QA Engineer,8
Business Analyst,8
thiết bị mạng viễn thông,8
project manager,8
ai engineer,8
Bảo mật ứng dụng và phát triển,7
data scientist,7
.net developer,6
it helpdesk,6
frontend developer,6
khác,6
Kỹ sư lập trình PLC/SCADA,6
AI Researcher,6
Kỹ sư IoT (IoT Engineer),6
Nhân Viên IT,6
Chief Technology Officer (CTO),5
flutter developer,5
manual tester,5
Senior Business Analyst,5
java developer,5
fullstack developer,5
Scrum Master,5
Product Owner,5
Senior Data Analyst,4
Cloud Engineer,4
IT Comtor,4
IT Supervisor,4
voice engineer in ha noi office,4
ui/ux designer,4
database administrator,4
Java Developer,4
cctv network pa tell ..... technician for ha noi office,4
IT Business Analyst,4
nodejs developer,4
business development,4
Senior Data Engineer,4
công nghệ thông tin,4
it support engineer,4
Vị trí Game Development khác,4
Kiểm thử và đánh giá bảo mật,4
backend developer,4
thiết kế,3
business intelligence analyst,3
it vận hành hệ thống,3
ai,3
Back-end Engineer,3
mobile developer,3
Senior Data Scientist,3
giáo viên tin học,3
Game Tester,3
Full Stack Developer,3
ios developer,3
kinh doanh phần mềm,3
Marketing,3
Senior DevOps Engineer,3
giảng viên công nghệ thông tin,3
voice engineer in da nang office,3
CV Quản trị ứng dụng - Application Management (AM),2
".NET Developer (C#, ASP.NET)",2
Python Developer,2
[HN] Project Manager,2
"Embedded Software Engineer (C++, C language) ~ 4000$",2
Automotive Cybersecurity Developer (Embedded C/C++),2
Project Manager,2
Mobile Developer (React Native),2
it support,2
SAP Functional Consultant (Intern To Staff),2
IT Server Administration Senior,2
IT Engineer,2
AI Expert,2
Fullstack Developer (Java/ReactJS),2
AI/Machine Learning Engineer (Python),2
Kỹ Sư Thử Nghiệm,2
Head of Engineering,2
marketing,2
Automotive Security Consultants (Embedded System),2
Thợ cơ khí,2
Chuyên Viên Phân Tích Nghiệp Vụ,2
technical,2
Giáo viên bộ môn khác,2
Senior Backend Engineer (Golang),2
Điện tử/Phần cứng khác,2
Technical Director,2
"Back End Python Developer (Python, AWS)",2
it office factory division,2
"Programmer (Vue.js, Nuxt.js / C#)",2
kiểm toán công nghệ thông tin,2
hỗ trợ bảo trì hệ thống phần mềm,2
data architect,2
cao cấp kiến trúc doanh nghiệp enterprise architect,2
phát triển phần mềm,2
triển khai phần mềm,2
Call Center/Trực tổng đài,2
Chief Information Officer (CIO),2
lập trình python odoo,2
Technical Lead,2
Product Analyst/Research,2
Kỹ sư hệ thống,2
GIS Engineer,2
Technical Manager,2
Web Developer,2
Giám Đốc Công Nghệ Thông Tin,2
công nghệ blockchain,2
giám sát camera,2
customer success,2
Interaction Designer,2
machine learning engineer,2
Kỹ sư điện tử viễn thông,2
System Architect,2
Security Engineer,2
Blockchain Engineer,2
voice engineer for da nang office,2
Product Manager,2
lập trình viên fullstack,2
"DevOps Engineer (Docker, K8s, Microservices, CI/CD)",2
Marketing/PR/Quảng cáo khác,2
Tuyển dụng,2
risk modelling operations,2
Fullstack Mobile Developer (Flutter + IOS/Android),2
Solution Architect (Life Insurance Project),2
mlops engineer,2
iOS Developer (Mid-Level or Senior),2
kinh doanh khách hàng quốc tế,2
kinh doanh,2
Kỹ sư thiết kế cơ khí,2
cộng tác viên vận hành hệ thống,2
lập trình viên,2
sales admin,2
"Senior/Principal Hybrid QA QC (Manual, Automation Test)",2
python developer,2
frontend,2
Back End Developer (Python),2
Lead/Senior QA QC Automation Tester,2
Business Analyst ( Banking / Finance ),2
Lập Trình Viên,2
Product Designer,2
Senior IT Project Manager,2
Senior Product Owner,2
[Hà Nội] Business Intelligence Executive (E-Commerce),2
(Test lead) CVCC Kiểm thử nghiệp vụ Ngân hàng Lõi,2
Senior Frontend Engineer (React/NextJS)- $55K/year,2
Data Analytics Manager,2
Senior Java Developer,2
QA Manager,2
Technical Project Manager,2
hỗ trợ công nghệ thông tin,2
Chuyên Gia Kỹ Thuật Dữ Liệu,1
SAP Consultant (Finance/Master Data/Itgc),1
Chuyên Viên Kỹ Thuật Dữ Liệu,1
Chuyên Gia Khoa Học Dữ Liệu,1
Chuyên Viên Khoa Học Dữ Liệu,1
"Senior Officer, Business Intelligence (Life Insurance Project)",1
Senior Data Scientist/ Chuyên gia cao cấp khoa học dữ liệu,1
"Senior Manager, Business Analysis - IT Department (Insurance Project)",1
Senior DevSecOps (Life Insurance Project),1
"Senior Officer, Software Engineering (Life Insurance Project)",1
AI Expert (Head / Expert / Senior Specialist),1
Chuyên Viên Bảo Mật Thông Tin,1
Chuyên Viên Quản Trị Hạ Tầng Máy Chủ và Lưu Trữ,1
Implementation Consultant Lead (Trưởng nhóm triển khai sản phẩm),1
Senior/ Consultant Talent Acquisition,1
IT Solutions Analyst,1
Chuyên Viên Phân Tích Và Sản Phẩm Dữ Liệu,1
Chuyên Viên Quản Trị Dữ Liệu,1
IT Executive (Developer),1
Senior IT Project Manager/ Quản lý dự án cao cấp,1
Senior DevSecOps/ Chuyên viên cao cấp DevSecOps,1
Senior Pentester/ Chuyên viên cao cấp an ninh thông tin,1
Kỹ Sư Triển Khai Hệ Thống,1
Senior QC,1
Java Full-Stack,1
Kiến Trúc Sư Giải Pháp,1
Business Analyst (JLPT N2+) Signing Bonus Up To 35M,1
Bridge Software Engineer (BrSE) Signing Bonus Up To 35M,1
Senior Embedded Autosar Engineer - Signing Bonus Up To 60M,1
Senior Solution Architect (Automotive) - Signing Bonus Up To 60M,1
Android Automotive Developer - Signing Bonus Up to 60M,1
"Chuyên Viên, Chuyên Viên Cao Cấp Quản Trị Rủi Ro Công Nghệ - Technology Risk Management Specialist, Senior Specialist - Khối Quản Trị Rủi Ro (HO25.327)",1
Embedded Linux Engineer - Signing Bonus Up to 60M,1
Kỹ Sư Giải Pháp Hệ Thống Mạng Doanh Nghiệp - Network Solution Engineer,1
Nhân Viên Điện - Điều Khiển,1
Deputy Manager of Data Analytics,1
Trưởng Phòng GenAI & Automation - Khối Công Nghệ Thông Tin,1
"Giám đốc Trung tâm Khách hàng doanh nghiệp, Chính phủ - Làm Việc Tại Mozambique - Mức Lương Từ 4000 Usd/tháng",1
"Kỹ Sư Giải Pháp, Tích Hợp Hệ Thống Cloud",1
Kỹ Sư An Ninh Thông Tin,1
Microsoft Dynamics AX Developer (D365 Developer),1
[HO] AI Engineer,1
"IT Operations - DBA, Cloud, Appops (Life Insurance Project)",1
"Cyber Security Feature Test (Hybrid Working + Salary Up to $2,500 + Relocation Bonus)",1
Cobol Developer,1
"Manual Tester (From 1 Year(s), English, Automotive Domain)",1
"Senior Business Analyst, Storefront & Ads Management (Up to 30 Months of Annually Package)",1
Junior Scrum Master,1
Chuyên Viên Phát Triển Phần Mềm (R_IT2508),1
Senior Quality Engineer (Up to 30 Months of Salary Annually),1
Business Analyst Team Leader (Iot/smart Home),1
Data Engineer (Expert),1
Chuyên Viên Devops/am,1
Vietnam R&D Lead / Team Lead Founding Member,1
Business Analyst/Product Owner,1
C / C++ Software Engineer - Salary Up to 2500$ - Hybrid Working,1
Android Devevloper (Hybrid Working - Salary Up to 2500$),1
IT Staff (Application Developer),1
IT Application Operation (Up to 35Mil VND),1
Lập Trình Viên (.NET),1
"Security Software Engineer (SSE) - Relocate to Dubai, UAE",1
"Penetration Tester (PT) - Relocate to Dubai, UAE",1
"Cybersecurity Team Leader - Relocate to Dubai, UAE",1
Senior Software Developer,1
HR Digital Transformation,1
Front End Developer - Technical Support ( JLPT N1 or N2 - Relocate to Malaysia),1
Project Manager (Chinese-Ecommerce),1
"(Middle, Senior) BackEnd Engineer (Java, Spring Boot) - Khối Công Nghệ Thông Tin (HOLT.11)",1
"MB Trainee - BackEnd Engineer (Intern, Fresher) - Khối Công Nghệ Thông Tin (HOLT.09)",1
"[Junior, Senior] BackEnd Engineer (Java, Spring Boot) - Khối Công Nghệ Thông Tin (HOLT.03)",1
Senior Java Developer - Up to $3200,1
Senior AI Engineer / Data Scientist (Machine Learning/python),1
Kỹ Sư IT Phát Triển Hệ Thống IoT,1
Digital Banking - Business Analyst,1
Senior Fullstack Developer - Khối Công Nghệ Thông Tin (HOLT.04),1
Back-End Java Developer,1
Lập Trình Viên Front-End,1
Project Coordinator - Hyper Automation,1
Senior E-Commerce Executive (Fluent Chinese),1
Sales Systems Executive,1
Global Service Desk Agent,1
Project Manager (Life Insurance Project),1
Senior Back-End Developer,1
Chuyên Viên Network Engineer,1
Chuyên Viên Hệ Thống (System Engineer),1
.NET Developer,1
Business Analyst (BA),1
[ Hot Job ] Nhân Viên IT,1
Chuyên viên - Phòng Nghiệp vụ vận hành số & thẻ - Digital Operations and Card Services Specialist - Khối Vận hành (HO25.351),1
Lập Trình Viên Nodejs,1
"Trợ Lý Phát Triển Sản Phẩm Phần Mềm - Associate Product Manager (Khối Sản Phẩm: Quản Trị Kinh Doanh, Điều Hành, Bán Lẻ, AI)",1
Nhân viên Bộ phận Đảm Bảo Chất Lượng (QA) Tiếng Nhật N2 - Có xe đưa rước,1
Chuyên viên Quản trị ứng dụng - Application Management (AM) - Khối Công nghệ thông tin (HO25.358),1
Kỹ Sư Cao Cấp Phát Triển Phần Mềm,1
Chuyên Viên ANBM Cao Cấp - Senior Information Security Monitoring Specialist,1
Red Team Engineer,1
Application Security Engineer,1
Design Technologist,1
Chuyên Viên Nghiên Cứu Giải Pháp,1
Application Service Engineer,1
"Integration Specialist (nightshift, ERP integration, good English)",1
Kiến Trúc Sư Hệ Thống (SA),1
Network Security Engineer,1
Phó Phòng Quản Lý Danh Mục Và Tài Chính Công Nghệ - K.CNTT,1
Phó Phòng Quản Trị Kiến Trúc Công Nghệ - K.CNTT,1
Trợ Lý Phát Triển Sản Phẩm Phần Mềm - Associate Product Manager (Khối Sản Phẩm: Kế Toán - Kiểm Toán - Tài Chính),1
Trưởng Phòng Vận Hành Hạ Tầng Và Nền Tảng Điện Toán Đám Mây - K.CNTT,1
Front-End Software Developer (Lập Trình Viên Phần Mềm Front-End),1
Chuyên Viên Đàm Phán Tòa Nhà (Hạ Tầng Viễn Thông),1
"Chuyên Viên Phát Triển Và Vận Hành Hệ Thống, Nhóm CSDL Token – CV2 (Mã: Ttđt.token.cv2)",1
"Chuyên Viên Quản Trị và Vận Hành Hệ Thống, Nhóm Hệ Thống",1
