job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,posted_date,skills,industry,job_level,source
tcv_0001,Software Engineer,Developer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,40000000.0,15000000.0,0.0,Hà Nội,14/09/2025,[],[],Junior,TopCV
tcv_0002,Kinh doanh phần mềm,Sales,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ GIẢI PHÁP PHẦN MỀM SMB PLUS,18000000.0,15000000.0,0.0,Hồ Chí Minh,14/09/2025,[],"['b2b', 'it - phần mềm', 'marketing / quảng cáo']",Junior,TopCV
tcv_0003,Chuyên viên Cyber Security,Security,CÔNG TY CỔ PHẦN AN NINH MẠNG 405CYSE,30000000.0,20000000.0,0.0,Hồ Chí Minh,18/09/2025,"['kiến thức chuyên sâu về an ninh mạng', 'phân tích và đánh giá rủi ro', 'xử lý sự cố an ninh', 'kiến thức về các hệ điều hành (windows, linux)', 'kiến thức về mạng (tcp ip, dns, vpn)']",[],Mid,TopCV
tcv_0004,Data Engineer,Developer,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),0.0,0.0,1.0,Hà Nội,20/09/2025,"['sql', 'etl', 'data warehousing', 'cloud computing (aws, azure, gcp)', 'data modeling']",[],Mid,TopCV
tcv_0005,Mobile Developer,Developer,CÔNG TY CỔ PHẦN SMARTOSC,0.0,0.0,1.0,Hà Nội,17/09/2025,"['react native', 'javascript', 'redux context api', 'restful apis', 'git']",['it - phần mềm'],Junior,TopCV
tcv_0006,Technical Leader,Infrastructure,CÔNG TY CỔ PHẦN DS SOLUTION VIỆT NAM,40000000.0,25000000.0,0.0,Hà Nội,19/09/2025,"['python', 'quản lý dự án', 'nextjs', 'react', 'lãnh đạo nhóm', 'openai', 'quản lý team', 'jira/confluence']","['it - phần mềm', 'tiếng anh giao tiếp thành thạo']",Lead,TopCV
tcv_0007,Thiết kế đồ họa (Graphic Design),Design,CÔNG TY TNHH VLAST VIỆT NAM,80000000.0,60000000.0,0.0,Hồ Chí Minh,20/09/2025,[],"['it - phần mềm', 'game', 'thiết kế / kiến trúc']",Mid,TopCV
tcv_0008,Fullstack Developer,Developer,FPT IS,0.0,0.0,1.0,Hà Nội,18/09/2025,"['css', 'html', 'javascript', 'react', 'node.js']",[],Junior,TopCV
tcv_0009,Mobile Developer,Developer,Công ty cổ phần phần mềm Matechmobile,30000000.0,30000000.0,0.0,Hà Nội,30/09/2025,[],['it - phần mềm'],Junior,TopCV
tcv_0010,Kinh doanh phần mềm,Sales,Công ty cổ phần GIMO,17000000.0,10000000.0,0.0,Bình Dương,14/09/2025,"['giao tiếp', 'thuyết phục', 'làm việc độc lập', 'sử dụng tin học văn phòng']","['direct sales', 'b2c', 'tài chính', 'có hỗ trợ data']",Junior,TopCV
tcv_0011,Business Analyst (Phân tích nghiệp vụ),Data,CÔNG TY TNHH GIẢI PHÁP VẬN HÀNH DOANH NGHIỆP OPERDO,25000000.0,17000000.0,0.0,Hà Nội,23/09/2025,[],['it - phần mềm'],Junior,TopCV
tcv_0012,Data Engineer,Developer,CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ THÔNG TIN DI ĐỘNG,18000000.0,13000000.0,0.0,Hà Nội,19/09/2025,"['quản lý nhóm ', 'giao tiếp', 'quản lý dự án', 'hỗ trợ kỹ thuật', 'khắc phục sự cố phần mềm']",['từ 18 tuổi trở lên'],Junior,TopCV
tcv_0013,Product Owner/Product Manager,Infrastructure,Công ty Cổ phần MISA,52000000.0,52000000.0,0.0,Hà Nội,30/09/2025,"['phân tích thị trường', 'quản lý sản phẩm', 'thu thập và phân tích dữ liệu', 'xây dựng chiến lược sản phẩm', 'quản lý roadmap sản phẩm']","['it - phần mềm', 'tài chính', 'ngân hàng']",Manager,TopCV
tcv_0014,Fullstack Developer,Developer,Công ty Cổ phần dịch vụ và giải pháp xử lý dữ liệu VBEE,30000000.0,23000000.0,0.0,Hà Nội,10/09/2025,"['javascript', 'reactjs', 'node.js', 'html/css', 'restful apis']",['it - phần mềm'],Junior,TopCV
tcv_0015,Mobile Developer,Developer,CÔNG TY CỔ PHẦN ALLIEX VIỆT NAM,0.0,0.0,1.0,Hà Nội,19/09/2025,"['java', 'android sdk', 'kotlin', 'android studio', 'restful apis']","['it - phần mềm', 'tài chính', 'tiếng anh giao tiếp thành thạo']",Junior,TopCV
tcv_0016,Backend Developer,Developer,Công ty Cổ Phần Rikkeisoft,0.0,0.0,1.0,Hà Nội,18/09/2025,"['terraform', 'ansible', 'ci/cd', 'cloud (aws, azure, gcp)', 'linux']",['it - phần mềm'],Junior,TopCV
tcv_0017,Business Analyst (Phân tích nghiệp vụ),Data,CÔNG TY CP CÔNG NGHỆ HẢI NAM TECH,18000000.0,15000000.0,0.0,Hà Nội,20/09/2025,"['giao tiếp', 'phân tích nghiệp vụ', 'thu thập yêu cầu', 'mô hình hóa quy trình nghiệp vụ', 'viết tài liệu đặc tả yêu cầu', 'kiến thức về cơ sở dữ liệu', 'kinh nghiệm triển khai erp']",['it - phần mềm'],Junior,TopCV
tcv_0018,Software Engineer,Developer,HAPAS VIỆT NAM,25000000.0,15000000.0,0.0,Hà Nội,21/09/2025,"['phân tích nghiệp vụ', 'tự động hóa quy trình', 'lập trình (python, java, .net)', 'quản lý dự án', 'giao tiếp']","['it - phần mềm', 'thương mại điện tử']",Junior,TopCV
tcv_0019,Kỹ sư IoT (IoT Engineer),Developer,CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ THÔNG TIN DI ĐỘNG,25000000.0,18000000.0,0.0,Hà Nội,19/09/2025,"['voip technologies', 'network engineering', 'sip protocol', 'pbx systems', 'project management']","['it - phần mềm', 'viễn thông', 'thương mại điện tử', 'từ 18 tuổi trở lên']",Mid,TopCV
tcv_0020,Thiết kế đồ họa (Graphic Design),Design,CÔNG TY TNHH DAOUKIWOOM INNOVATION,12000000.0,9000000.0,0.0,Hồ Chí Minh,01/09/2025,"['photoshop', 'tin học văn phòng']","['thiết kế / kiến trúc', 'tuổi 18 - 40']",Intern,TopCV
tcv_0021,Backend Developer,Developer,Công ty Cổ phần NAL Việt Nam,35000000.0,20000000.0,0.0,Hà Nội,10/09/2025,"['java', 'sql', 'spring framework', 'tiếng nhật (n3 trở lên)', 'hibernate/jpa']","['it - phần mềm', 'tiếng nhật jlpt n3']",Junior,TopCV
